Story,Section
"but, I very rarely do things like, um,",0
"I've never done aerobics or any sort of structured,",0
this is my exercise time,0
Uh-huh.,0
"but, I do lots of outdoor sports and things, bicycling, uh, you know, mountaineering, a little mountaineering, this and that,",0
and I spend a lot of time,0
and I probably get more exercise than your average person.,0
"But, it's not a, a structured sort of thing,",0
"and I have to admit I have a certain resistance to the idea of exercising for exercising's sake,",0
Uh-huh.,0
"and perhaps, it's because somehow that implies to me it's not fun, or something like that.",0
"Yeah,",0
"well I, I've,",0
"my,",0
that's the way my mother stands on it.,0
"She feels like if it's something that you have to do, you know, if you look at it as if you have to do it, then it becomes, it becomes a chore,",0
Uh-huh.,0
Uh-huh.,0
"Yes,",0
yes.,0
"and,  and, she doesn't enjoy it when it's a chore.",0
"So, um, and I feel that way too as far as, you know, just sitting and doing, you know, to, the idea of doing fifty sit-ups or something, you know,",0
"to,",0
"Uh-huh,",0
uh-huh.,0
you're a you know,0
calculated down,0
"and do your calisthenics, you know, three times a week",0
Uh-huh.,0
"or, but, but I do try and, um, I do try and regulate how much exercise I get a week.",0
"Uh-huh,",0
uh-huh.,0
"Yeah,",0
yeah.,0
"Is that why you like aerobics classes, because you're not, sort of, someone else is doing the counting for you, so, it makes it less of a chore?",0
Yeah.,0
"And, it's got,",0
and I've always enjoyed dance.,0
Yeah.,0
"So it involves, you know,",0
"I, I can't get out to dance all the time",0
"and,",0
"Yeah,",0
would that we could,0
"Yeah,",0
"and it's, and it's more regulated,",0
"I mean you're, you're using different parts of the body.",0
"Uh-huh,",0
uh-huh.,0
"So, it, it is like dance,",0
"and it's structured like that,",0
"but you have the music, and someone, like you said, someone else is counting, so, it makes it easier for me.",0
Yeah.,0
Uh-huh.,0
"And, someone else is telling me, okay, you know, let's move this way, let's move that way, instead of me having to think about it so much.",0
"Uh-huh,",0
uh-huh.,0
Right.,0
You can just trust someone else to give you full exercise,0
and all you do is follow along and enjoy yourself.,0
"Yeah,",0
yeah.,0
"But, I'm like you,",0
"I also, um, like to participate in, uh, things like,",0
"well, we just went to the, uh, Myererson Symphony Run this past weekend,",0
"and, and that was a lot of fun",0
"and you get to meet different people, and, um, just get out, you know, out and about,",0
"Uh-huh,",0
uh-huh.,0
"Uh-huh,",0
uh-huh.,0
"and it's, it, it's something you can all,",0
"like our,",0
"we did it as a family,",0
"so, it was, it was quite a lot of fun.",0
Uh-huh.,0
Uh-huh.,0
"and, biking",0
"and I, I, I love to swim,",0
"so I love it when, you know, it's swimming weather,",0
Um.,0
"and, uh,",0
"Well, you're talking to someone from California where it's often swimming weather",0
"Oh,",0
I didn't realize that.,0
Uh,0
I'm sorry.,0
"Well, I'm in Texas.",0
"I, I just assumed that I had,",0
"this is the first call I've done,",0
Uh-huh.,0
"and, I didn't realize that they were going to reach out to people from, all over the country.",0
You wouldn't know that,0
"Oh, I,",0
"So, it's the, it's, it's the, the well it's actually,",0
"it's interesting, because there are real regional differences.",0
"Um, in California there's, uh, almost an assumption, um, unless you're, sort of, clearly of an older generation, or something, you know, in your sixties, or something like that,",0
"I'm, I'm, I'm not. Uh,",0
"there's an assumption that you do something for your physical fitness, and, and, at least in urban California.",0
"And, maybe not,",0
I don't know about rural California too well.,0
"But, in urban California it's just, you know,",0
for all I know aerobics started out here.,0
"I don't know where they actually started,",0
"but they, you know, the craze really picked up big here",0
and before that there was the running craze.,0
"And, they,",0
"California gets, you know, tends to be a bit faddish,",0
"but, the remarkable thing is how well the fads catch on elsewhere.",0
Uh-huh.,0
"So, there must be something to some of them.",0
"And, uh,",0
"Well, I think people are, are more um, um,",0
"people from California seem to be more health motivated all around. I mean, as far as the diet, and everything. Uh, the diet and, uh, just your health consciousness,",0
"and, I mean, it just, seems like, uh, a lot of those ideas generate out of California.",0
Uh-huh.,0
"Not just exercise, but, health, health related ideas.",0
Yeah.,0
"And, I,",0
"it's curious, I don't know why, don't know if it's,",0
"do you,",0
"does California have a,",0
"Well, there's a sense of it being a package,",0
"I think. There, there is a sense of, you know, whole,",0
"there's a lot of, you know,",0
"you'll get organizations, like institutes for the whole health, or whatever.",0
"And, uh, oh the, the, the University of California at Berkeley puts out THE WELLNESS LETTER. Which is, uh, turned into a fairly well subscribed to, uh, newsletter, monthly or biweekly newsletter or something like that",0
Uh-huh.,0
"and, and, it doesn't deal with just exercise, or just stress management, or just diet, or anything.",0
"It, it's on fairly solid scientific ground.",0
"Uh, it's just dispensed with these distinctions.",0
"It says all sorts of factors go into health and there's no reason to talk about one rather than another, so that they, they combined them all together.",0
"And, uh, so it's had that orientation for quite some time.",0
"Um, there's been some progressive medical schools out here, that have taken that approach.",0
Uh-huh,0
"And, um,",0
"Now do you think that's because they've realized that for whole health, that, the, you know, you have to have that combination, or that people are motivated that way so that they've incorporated that into their program.",0
"Boy,",0
"Do you  think the program came  first or the,",0
"yeah,",0
"that,",0
"there's a,",0
"I, I can say there's a correlation, but I couldn't say which, which caused the other.",0
"They sort of, you know, each developed a little bit and then would feed off one another and develop a little bit more, and a little bit more.",0
"Yeah,",0
the more money they put into it.,0
Yeah.,0
"And,",0
I can see that.,0
"And, cause, I,",0
knowing,0
"from institutes of learning like that, I know that they've got to get their money somewhere,",0
"and somebody's got to be willing to pay for it, and believe in it,",0
"so,",0
"Yeah,",0
yeah.,0
Exactly.,0
"And, part of it is California, you know, in, back in the sixties, had a lot of alternative movements",0
and some of them fizzled out,0
and some of them were disastrous,0
"and others of them, um, had an impact on the society around here.",0
"And one of the ones that had an impact was, uh, people becoming interested in alternate practices,",0
"I'm not sure if it was a meditation practice, or if it was, you know, which is similar to a stress management practice or alternates to, uh, A M A approved medicine.",0
"Uh, you have, you know, major, um, acupuncture schools and things out here.",0
"And, and you could have them around long enough",0
"and more and more people start believing them or wondering how to combine them with other things,",0
Uh-huh.,0
"and, before long, you, you get this, this whole kind of Gestalt, this whole package of, of health, of health care and options",0
Uh-huh.,0
"and, uh, and exercise is, is strongly considered one of them.",0
"The irony is, is its people in the cities, in my experience, that are most oriented towards doing the exercise.",0
"And, I guess because they spend all day in back of their desks.",0
"The average person out on the farm, at least traditionally, now they drive fancy tractors as much as anything but at least traditionally,  the laborers,",0
Yeah.,0
"last thing,",0
Or they're older.,0
Pardon me.,0
"Well, don't you think they tend to be older in the rural",0
"I, I sometimes think that it's almost frantic effort on the part of the people in the city.",0
"Oh,  like everything else.",0
"I live in a rural area,   you know, I see that.  *sd",0
"Yeah,",0
yeah.,0
The rat race to exercise,0
"It's, yeah, it's, it's like it's frantic, to,",0
Uh-huh.,0
"Yeah,",0
"well I, I think so.",0
as a fit person,0
"I mean you, you've,",0
"if you look at if you look at other cultures,",0
like I know a little bit about people who were considered very healthy in China,0
and they don't do very much vigorous exercise at all.,0
"But, they do a lot of low keyed, low impact, low stress exercise,",0
"and they combine it with a, you know, meditation or whatever. Some sort of relaxation",0
Uh-huh.,0
"and, they seem pretty, you know,",0
they don't have the hard body.,0
"They don't have that perfect look,",0
and an awful lot of exercise is sort of image conscious.,0
"But they, you know, they live to a hundred and ten some you know,",0
"Yeah,",0
"And, that, that's,",0
"Well, don't you think a lot of that is diet too?",0
"and, a lot of that is diet.",0
That's true.,0
Yeah.,0
"Yeah,",0
"I mean, they eat, they eat a lot of carbohydrates, and not much fat. Um, for economical reasons, not for preference.",0
Uh-huh.,0
"Um,",0
Yeah,0
and as we can see.,0
"Well, I'm a, I'm a practicing vegetarian",0
"so, uh, I've read a lot of information,  knowing that to be true,",0
Yeah,0
am I actually.,0
What's that?,0
"I, as am I.",0
"Oh, are you also",0
Yes,0
"Well that's, that's good as far as the",0
"is that, is that, um, pretty predominant as far as California",0
"It is in the urban areas,",0
yes.,0
In the urban areas?,0
"Most, for example most restaurants in an urban area will have a little vegetarian section now.",0
Uh-huh.,0
Oh that's wonderful.,0
"Well most, most, sort of modern looking restaurants will,",0
Yeah.,0
"you can,",0
"That's great,",0
"I mean, we, uh,",0
it's such a it's such a trouble here.,0
"I mean, you just have to eat at home basically.",0
"I was wondering that,",0
"because I was actually applying for a job in Texas,",0
"and, and, and, uh,  it occurred to me,",0
"Well of course in the cities,",0
"yeah,",0
"well, in the cities,",0
"we live close to Dallas,",0
Uh-huh.,0
"so, uh, which, you know,",0
"you get, uh, an influx of a lot of people from all over the country,",0
"so, you're going to have a lot of more choices,",0
"Uh-huh,",0
uh-huh.,0
"but, but, in urban areas it's, you know, steak places,",0
Yeah.,0
Yeah.,0
"an, and it's not a, you know,",0
Yeah.,0
"it's, uh, it's definitely,",0
"it, it's, it's changing to a degree, And, even, even with health food stores and stores where you can buy natural products or, uh, organic, you know, materials, and foods and things.",0
Yeah.,0
"Uh-huh,",0
"uh-huh,",0
uh-huh.,0
"You don't really have that,",0
"I mean, you would think.",0
Are you ready?,0
Uh-huh.,0
She didn't announce that to you?,0
"Oh, I didn't, I didn't quite hear all of it.",0
"Oh, I see.",0
That's fine.,0
"Um, I think, uh, that's pleasurable for all of us, if we choose the right restaurant",0
Right,0
"So, what are your thoughts on dining out?",0
"Well, I, I really choose restaurants more for the quality of food than anything else.",0
Not for the price?,0
"Well, a little bit for the price,",0
Okay.,0
"but, uh, I think that as far as quality of food goes the some of the most expensive places I've been had the the, really the, the worst quality of food.",0
Uh-huh.,0
The,0
Really?,0
Okay.,0
Really.,0
"Um, a lot of places that even don't look, don't look like much.",0
Uh-huh.,0
"Some of the, some of the best food I have ever had was out of a, outside or inside of a place that we drove up",0
"and I was like, I'm not eating in there",0
Are you nuts?,0
"And, uh, we went in",0
and it was the it was the most wonderful food.,0
"My word,",0
"it's like mama in the back kitchen, huh?",0
Yeah.,0
Oh.,0
I'm serious.,0
Yeah.,0
"Um, a lot of, uh, one place that we went just recently uh, was to Atchafalaya.",1
Uh-huh.,1
"No,",1
that's not right.,1
That's not right.,1
That's not right.,1
Okay.,1
someone in the What's the name of that restaurant?,1
in the background Where at? .,1
someone in the background The Hari Krishna.,1
in the background relies Oh. Kalachandji's .,1
Kalachandji's.,1
"It's all vegetarian,",1
"and it, it was just fabulous.",1
"I mean, my husband was aghast because I ate turnip greens and liked it.",1
Wow.,1
"And where was that at, near your,",2
"Um, Kalachandji's.",2
"It's, uh, it's a Hari Krishna run restaurant.",2
"Where,",2
is it in Dallas?,2
Yes.,2
Is it in the phone book?,2
"Uh, I think so.",2
It should be.,2
Do you know how to spell it?,2
"Uh, it starts with a K.",2
Okay.,2
"So K A L A, I think, C H A N D.",2
"Kalli , K A L L I?",2
Okay.,2
"That should get you close enough to, to be able to find it.",2
"I think it's, uh, probably listed in the restaurants, you know.",2
"Uh-huh,",2
"section,",2
"yes,",2
uh-huh.,2
"But it's, uh, it's just fabulous food.",2
What about fast foods?,0
"Do you have a preference if you were going to, eat a fast food?",0
"Well, we like Arby's. As far as, fast food goes.",1
"You do, like Arby's?",1
See I don't like Arby's.,1
"Oh, really?",1
Why?,1
"No,",1
because they use everything they can and make this into pressed whatever.,1
"They use the, they use the insides of the animals, heart and liver",1
"and they, they form it,",1
"and they make it look like roast beef,",1
"and I said, no,",1
thank you.,1
"Oh, no,",1
"no,",1
no.,1
Someone has been lying to you.,1
What they use is roast beef.,1
"Well, that's not what I heard, from one of, somebody that was supposed to know what they were talking about.",1
"That's what,",1
"Oh, my goodness.",1
Uh-huh.,1
I'm surprised.,1
My dad worked for Arby's for several years.,1
Really?,1
Yeah.,1
Unless somebody is trying to blackball them.,1
"Well, that's happened before.",1
Uh-huh.,1
"But we like good uh, we're, we like Mexican food.",1
Okay.,1
And stuff like that.,1
"And so, um,",1
"How about the health food, uh, restaurants? Well, like this one",0
"but it's probably not advertised as such, is it?",0
"Or,",0
A health food?,0
Uh-huh.,0
"Health food, uh, restaurants that,",0
"Like, like,",0
name one,0
"Well well, like, um, well, I can't really think of any off the top of my head right now because there's so few and far between.",0
I'm not sure what you're talking about.,0
"But they ought, there are restaurants that cater to the people that are very health conscious. You know, as far as their cholesterol levels and their, their fat content and, you know, the amount of calcium and so forth that are in each product",0
and they list them.,0
Now there's one restaurant that does that,1
and it's called Rodolfo's,1
over on Preston Road and Royal Lane I believe.,1
Huh.,1
And they have very good food over there.,1
I don't guess I've ever been to anything like that,1
"so, I really don't have anything to compare it to.",1
"Uh-huh,",1
uh-huh.,1
"They do list, um, you know, list the fat,",1
"It would be good I think,",1
"Uh-huh,",1
uh-huh.,1
"uh, I don't know how expensive they are.",1
"It sounds like that it would probably,",1
"Well, it was pretty reasonable.",1
"I, it was around ten dollars for lunch. Okay,",1
which is kind of high for lunch I guess.,1
For one person?,1
Yes.,1
Oh,1
"Yes,",1
uh-huh.,1
A bit,1
Yeah.,1
"Uh, but, um, you were served by maitre d's and, and, uh, um, men waiters.",1
"Yeah,",1
"I, I won't really be interested in going to, in going there. Because, I feel like I'm, I'm paying, you know, five dollars for the food probably and five dollars for something that I could get along quite well without",1
"Well, if you're looking for a nice,",1
Uh-huh.,1
"Well, I guess if you were having, if you were trying to impress somebody like taking somebody that you hadn't seen for a long time and wanted to show them a good restaurant. It's a special occasion, type thing.",1
Yeah.,1
"Maybe, maybe that.",1
Yeah.,1
Yeah.,1
Yeah.,1
"I could see that, then maybe.",1
Uh-huh.,1
And now the Red Lobster I found is very nice at lunchtime.,1
"Yeah,",1
"I like the, the seafood that they, when they had it, you know, the broiled,",1
"Because they're,",1
"Well, they have lunch specials that",1
"you can't, you can't beat that price, uh, if you went to a cafeteria.",1
Yeah.,1
Probably that's true.,1
"But I know a lot of their, a lot of their specials sometimes are fried things, that you can't really get away from the fried,",1
"Well, I had the, I had a broiled chicken breast",1
and it was excellent.,1
"It was a marinated, broiled chicken breast",1
and it was,1
Now why would you go to a seafood restaurant to eat chicken?,1
"Oh, it was,",1
That's one of my husband's pet peeves.,1
"He doesn't understand why somebody would go to a seafood place and eat either chicken or steak, you know.",1
"Well, I've never had catfish either in a restaurant because I'm from the north",1
and that was a no no.,1
"Oh, really?",1
And I haven't gotten over that from the north.,1
"Oh, catfish is wonderful.",1
"I know they say that, that is,",0
"Oh, really.",0
"but I'm, but they've got all these caution signs now on fish",0
Really.,0
and so I kind of stay,0
Why?,0
"Because of all the pollution in the lakes and the, everywhere. I mean there isn't any safe haven anymore for fish.",0
Oh.,0
Huh.,0
"and especially, uh, in Wisconsin and Michigan they say, no, buying of our fish.",0
"That's too bad, because I'm probably not going to stop eating it",0
"I,",0
"Well, yeah.",0
"So I am,",0
"and the, the best brand of chicken to buy is the, uh, Pilgrim Pride because they don't use all these hormones to remote , uh, unnatural growth in their products.",0
Uh-huh.,0
Yeah.,0
"So I mean, we have to be on the lookout if we want to stay healthy.",0
That's true.,0
"So I'm, I, you know, I,",0
"Oh, on one hand I see that",0
"and on the other hand, uh, my older sister remembers when, uh, at one point they were taking radioactive wastes and storing them in tin barrels which I guess, had a half-life of, oh, five years if they sit empty on dry land.",1
Uh-huh.,1
Yeah.,1
Corrode.,1
Huh.,1
So they're putting radioactive waste in it which reduces it dramatically.,1
Uh-huh.,1
And then they take these things that will rust,1
and they throw them in the ocean which is going to speedup the process even more.,1
"Well, I'd like to get ahold of some engineers and knock their heads together if it would do any good.",1
Oh.,1
And then they wouldn't think.,1
They were floating around,1
so they shot holes in them to sink them.,1
"Oh, dear.",1
And this is before I was born.,1
Wow.,1
"So, I mean we're taking thirty years ago, this happened,",1
Sure.,1
Yeah.,1
"and, and who's, you know, the tuna is radioactive to a certain extent.",1
That's right.,1
Everything we eat.,0
"Everything, everything we eat should have a label on it",0
You can't get away from it,0
"so I think, To some point,",0
Yeah.,0
"yeah,",0
"you know. So there's, you know, there's some things I think we can we, you know we can't avoid for health purposes and some things that we just need to like, you know,",0
this is not in my control.,0
"Well, you know,",0
"So I'm either going to be, I'm either going to starve to death",0
"or I'm going to get over it and just go ahead and eat as healthily as I possibly can, you know.",0
"Well, Becky, you know, even if you lived off your own land, that you would have to put caution signs,",0
"Yes,",0
"um, I was wondering whether you were in favor of statehood, independence, or the status quo for Puerto Rico.",0
"I was a resident, although very young of the of what is now the state of Alaska in nineteen fifty-nine when Alaska stopped being a territory and became a state.",0
"Uh, so I guess I have a left over positive feeling about the question even though I don't know very much about Puerto Rico.",0
"Uh, I know that all the things that happened, relative to that territory in Alaska have been very positive, uh,",0
"and I have a suspicion that, that I believe that a, the statehood is a good idea whenever you have a territory the size of Puerto Rico one ought either to make it a full-fledged state or, or let it go, one or the other.",0
What is your situation?,0
"Well, I'm, I guess I don't have such close experience with, with, um, an area becoming a state as you do.",0
"Um, my concern is the economy because as I understand it Puerto Rico has a very low uh, standard of living or at least, um, annual average income.",0
"Um, part of this I suppose is justified in, in that the climate they don't need, perhaps, the heating and the housing that some of the more northern territories need.",0
"However, in that case, I guess I would favor status quo.",0
"I have been to Puerto Rico and, and found it very, very interesting.",2
I did Peace Corps training there.,2
Oh that's very interesting.,2
"And so, um, you know, I saw it, also as a young student",2
"and, and it was very foreign in a certain sense, although I had grown up in California",2
and so the Spanish was no problem.,2
"Um, it was, it was, you know, very lovely",2
"and, and the people seemed very friendly and, and nice.",2
"I have,",2
"actually, I work with, uh, a girl from Puerto Rico",2
"and, I guess I have never thought to ask her what she favors, um.",0
"Your concern on the economy was one in terms of, if it became a state would that put even more pressures on, on Puerto Rico, or pressures on the U. S. in terms of aid",0
"or,",0
"Well probably more on, in terms of the U. S. Um,",2
"you know, I'm, I'm not quite sure how the U. S. copes with this sort of thing.",2
"I've live abroad most of my life,",2
"so, I guess I, I've been very cut off.",2
"I lived actually in Lebanon,",2
"so, I was very cut off from the, the press as I, you know, and be, was becoming an adult.",2
"So, I don't know how the U. S. would cope with, uh, a new state that is so very, very poor.",2
Uh-huh.,2
"Um, I guess, you know, we'd have a lot of aid, if, if you consider the inner cities of like New York and, and how much aid it needs.",2
"I suppose the whole country, or the whole, um, new state would require such aid.",2
"I guess, um, we're assuming that, that Puerto Rico would be per capita significantly more poor perhaps than, than say Mississippi",1
"or,",1
I think so.,1
"Okay,",1
"that's something that, that I guess I have not much of an image of other than, than Puerto Rico as a tropical island and consequently large numbers of barefoot natives or something not in a perjuritive sense but in a, in a carefree sense, I guess.",1
"Although I'm aware of the political problems and unrest, and, and also difficulties they have. Um, I don't know whether state statehood would improve their economy.",0
"I don't, I don't know that the the act of being a state would have any impact on, on them.",1
"Uh, I guess they would have the ability to do some taxing that they don't have now.",1
But of course if their economy is weak there is not much of a base on which to tax.,1
"I don't know if they suffer in a sense of income loss as being, since they aren't a state, whether there are monies that escape them so to speak because they aren't able to tax like a typical state would be.",1
"How do you feel, though, about,",1
"well I guess it's to their advantage to be a territory,",0
"but, um, I wonder how have, having been in a territory but only as a young student",2
and my parents were in the military at the time,2
"so they didn't have ready negative feelings about being in, in Alaska at the time since they voted absentee.",2
"I, I would imagine that it must be a little bit of a feeling of second class citizenry, uh, to be in a territory that large and not being able to vote.",2
"The District of Columbia people, for instance are quite frustrated, I think, at times in their not having a Senate representative.",2
Uh-huh.,2
"Yeah,",2
"those, are good points, um, which obviously I had never thought about.",2
"Uh, I don't know, uh, I suppose they also, not being a state are probably freer to determine their own, um, ways of life than they would if, if,",1
I'm trying to think exactly what is imposed if they would become a state versus a territory.,1
Uh-huh.,1
"Uh, I see what you mean,",1
"so that,",1
"Yeah,",1
taxes would undoubtedly be occurring.,1
"Uh, there,",1
"I don't know, I don't even understand exactly how taxes are handled in a territorial situation.",1
"Um, frequently the laws in a territory are, are in some ways as stringent as they are in other states,",1
"I,",1
and I'm thinking in terms of education.,1
But then again each state sets its own,1
and I don't know how a territorial governor takes care of something like Puerto Rico.,1
"Um, it's interesting because I haven't thought of them in terms of the problems relative to, uh, economy, uh, I had thought of it more in terms of political, uh, realization",1
"and I guess I had automatically made the assumption that, gee, anyone would rather be a state of the U. S. than an independent country",1
"so,",1
Uh-huh.,1
"Well, well actually I",0
"one, one thing that I remember hearing in the news the past couple weeks that might be significant is that they've recently voted that Spanish is the official language, which I always assumed it was anyway.",0
"So, if they've just taken such action, it would seem to indicate to me either they're doing it because they're afraid they might become a state and want to declare this before they become a state, or maybe because they don't want to become a state for fear of losing the Spanish, or Hispanic heritage.",0
"Uh-huh,",0
well that's interesting too.,0
"Well it sounds as though you are in favor of, uh, status quo.",0
"I, I believe I would probably tend towards that.",0
"And I think, uh, having listened to you relative to the economy thing, I think if I were being forced to make a decision I would plead ignorance and wait to do more research before picking one of these.",0
"So I'm I guess I'm ultimately in favor of status quo also at this point, leaning towards the statehood.",0
Well that's interesting.,0
Right.,0
"What about if, if, um, they demanded to have Spanish as the official language as a condition for statehood.",0
"I think I would be troubled,",0
"I suspect, I believe that any of our states,",2
"and I,",2
constitutionally I don't think there are any prescriptions against that decision even if Louisiana chose to go with Creole or something.,2
"Um, I don't think there is any prohibitions.",2
I would be bothered by that.,2
"I'm, I'm bothered by any tendency to resist what I think was one of America's strengths",2
"and that's the, the, the melting pot.",2
Uh-huh.,2
"Uh, I, I am particularly fond of a number of ethnic cuisines,",2
"but I'm troubled by too close a clinging to, to the past",2
"and I'm also realizing that, that a common language, I think, is the ultimate bond of a country.",2
Uh-huh.,2
"And Canada, I guess, comes to my mind as they're going through the throes up there relative to French Quebec and whatever.",2
"Uh, that I, I think that would be a negative step to make",2
and I think that that they would need to reassess that.,2
"Um, I'm troubled even in by bilingualism, uh, in so far that it it gets in the way of, of, of the melting pot aspect.",2
"Uh-huh,",2
uh-huh.,2
"That's interesting because although I tend to be bilingual, Spanish based on experience, um, I was in bilingual education in California",2
and I didn't have any problem with my students,2
"but I noticed my, my brother, who was quite a bit younger, was learning Spanish in elementary school",2
and he can't speak a word.,2
Um.,2
"And so, obviously it didn't work in California.",2
"Yeah,",2
"but I'm rather in favor of people being bilingual,",2
Right.,2
and I'd be quite happy to see a national law in which every student was required to learn English and a second language.,2
Right.,2
"But I'm, I'm disturbed by a country that attempts to be functionally bilingual at the official level.",2
"Oh, I see.",2
"Um, I'm, I'm concerned about whether or not that causes fractiousness I guess.",2
"Uh-huh,",0
uh-huh.,0
Well I think we have gone to time,0
and I appreciate your having called.,0
"Okay,",0
well thank you very much.,0
Good-bye.,0
"Bye,",0
bye.,0
"Hi, Cynthia.",0
What did you wear to work today?,0
"Um, let's see.",0
What did I wear to work today?,0
"Um, actually I wore corduroy shorts with a white blouse, um, and flat shoes.",0
"So, can you dress pretty casually?",0
"Um, on occasion. On occasion.",0
Yeah.,0
"Um, I do vary.",0
"Um, you know, I wear suits,",0
I wear skirts and sweaters.,0
On occasion I can wear jeans.,0
"Um, how about you?",0
"Well, I, um, run a business out of my home.",0
Uh-huh.,0
"So I tend to get up in the morning, put on, sweats, um, do whatever I want to do with the kids, then whenever I have a meeting with a client, I'll put a suit on. And then come home and get back into regular clothes again",0
Yes.,0
Uh-huh.,0
Uh-huh.,0
Uh-huh.,0
"Um, you know, there's real no, no real dress code where I work.",0
"Um, you see people wearing, you know, all different attire.",0
"I, um, don't like to wear heels, that really tires me out.",0
I work in a big building.,0
Yeah.,0
"So, I predominantly wear flat shoes.",0
"Um, you know, in the winter I wear sweaters,",0
"in summer I, you know, I like one piece dresses, short sleeves, things like that.",0
"I've recently, um, tried to update my wardrobe, trying to put suits together that I can interchange, the, jackets and the blouses and all that a lot.",0
Right.,0
Right.,0
"That's helped me a lot with having,",0
"I can only have a, a limited wardrobe, since I'm only, working part-time right now.",0
Uh-huh.,0
Uh-huh.,0
"Um, but still, it gives it some variety. Add different blouses and scarves and belts and things like that.",0
Uh-huh.,0
"Right,",0
"right,",0
"accessories,",0
uh-huh.,0
What about your casual wear?,1
Do you like to wear jeans most of the time?,1
"Um, yeah",1
mostly.,1
"I mean, at home I predominantly wear laughs while saying remainder of sweatpants and things like that, also.",1
Yeah.,1
"It's nice you can wear shorts, especially on a day like today when it's so hot.",1
"Yeah,",1
"well, they're, um, you know, they're like",1
Dress shorts.,1
"yeah,",1
they're like black corduroy Bermuda shorts.,1
Yeah.,1
"And sometimes I wear a blazer with them,",1
and I get really a lot of compliments on them.,1
"Um, where I work is predominantly male.",1
Yeah.,1
"So, you know, they,",1
"their attire is always the same, you know. Suits or slacks, you know, jeans, whatever.",1
"Yeah,",1
"but ,",1
"And, um, but I'm really the only woman, I guess, at work that does that,",1
but seems to work for me,1
"Yeah,",1
but .,1
"In fact, I just bought, I, I just got a new outfit as a gift that, um,",1
"it's one of those skorts,",1
"you know,",1
it's shorts but it looks like a skirt.,1
Uh-huh.,1
"So, I think that'll be good for work, too.",1
"Oh, yeah.",1
It'll be comfortable.,1
Yeah.,0
Yeah.,0
"So,",0
"I guess down here, uh,",0
"we just recently moved to Texas,",1
so my wardrobe has changed quite a bit.,1
Uh-huh.,1
"Um, we moved from Colorado where,",1
and I have a closet full of sweaters.,1
Uh-huh.,1
"That,",1
"Well, see, I live in Virginia.",1
"You live in Virginia, now?",1
Uh-huh.,1
"Oh, that's interesting.",1
Yeah.,1
Yeah.,1
"So, I'm,",1
"you know, like right now, today was in about, you know, the fifties.",1
Uh-huh.,1
"But, um, you know, I, I do wear a lot of sweaters and things like sweater dresses.",1
Yeah.,1
I'd like to be able to wear those here.,1
Today it's eighty-eight degrees.,1
"Oh, my",1
So,1
Uh-huh.,1
"Needless to say, my sweaters have been hung in the closet for quite a while now",1
Uh-huh.,1
"Today was, uh, definitely a shorts day around here.",1
Uh-huh.,0
"Yeah,",0
"we're still pretty much, you know, in winter, as far as that goes here.",0
"This is pretty unseasonal,",0
"but, uh, at least, we,",0
"you know, it, it, it feels good,",0
"it gets, uh,",0
everybody doesn't have cabin fever today.,0
"It's nice to get, out and about.",0
Uh-huh.,0
Uh-huh.,0
I guess we've discussed everything there is about clothing,0
Okay.,0
Sounds good.,0
Okay?,0
It was nice talking to you.,0
"Okay,",0
"it was nice talking to you, also.",0
Bye-bye.,0
Bye-bye.,0
Lucille Hughes.,0
"Okay,",0
"Lucille, I'm on, on .",0
"All right,",0
"and what,",0
"And our  okay, our topic was,",0
did you hear our topic?,0
Yes.,0
"All right,",0
basketball.,0
Uh-huh.,0
I guess I'm probably a lot like you.,0
I'm a Dallas Maverick fan.,0
"Well, I certainly am too.",0
Now tell me what you expect from the Mavericks this year.,0
"Well, unfortunately, I don't expect a great deal out of them.",0
"They just have too many problems, too many ailments, too many hurt bones, and maybe too much age at this point.",0
"You know, when Roy Tarpley just now he messed up on them, it just hurt them so bad.",0
"I feel like everyone else,",0
Um.,0
I feel sorry for Donald Carter and the members of the team and the management team and everyone else.,0
"It just seems like they were just getting themselves in a position where they could possibly be a final, a final team playing for all of it.",0
"Yes, sir.",0
"National championship or the world championship, and something like this happens.",0
Oh.,0
"Well, do you think it's time that we go for new, uh, coaches?",1
Is that part of our problem?,1
"Yeah,",1
"I think at this time, we're just in a, a rebuilding type of phase, you know.",1
"I think that probably be evident with the more and more, the more and more young guys they draft.",1
"But,",1
"Well, it just, it's so discouraging that they can't really,",1
"I mean, they're entitled to more than they've been able to do so far.",1
"I, I'm awfully sorry that the Mavericks can't come on and, and do.",1
"Roy, who's your next best team,",2
or who do you like after the Mavericks?,2
"Oh, gosh,",2
"I'm so much a Maverick, Maverick fan I don't know.",2
Probably the Boston Celtics.,2
I've just always like the Boston Celtics.,2
"They have a, they have a similar situation in that a lot of old guys on the team,",2
"and, but they're still playing good ball.",2
Well.,2
"But I'm, I've always been a Boston Celtic fan, too,",2
"but, you know, I've lived in Texas since seventy-four,",2
"so being a transplanted Texan in, in the Dallas area, I have to stick with those Dallas Mavericks.",0
"We certainly need to support them,",0
do we not.,0
"Yes,",0
we do. You know.,0
Do you go to the game?,2
"Yes,",2
I go to a few games.,2
I haven't been to many.,2
I'm not a season ticket holder or anything.,2
"I was a season ticket holder of the Cowboys for years,",2
"and when my kids got to a certain age and went off to school and college and doing their own thing, sort of gets boring going by yourself",2
"Yes,",2
it does,2
